area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p08a;p08b;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p231;p232;p233;p24;p25;p251;p26;p27;p28;p29;p30;p31;p32;p33;p34;p341;p35;p351;p36;p37;p38;p381;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p59;p60a;p60b;p60c;p60d;p60e;p60f;p60g;p60h;p60i;p60j;p60k;p61b1;p61c1;p61c2;p61c3;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;p79;p80;p81;p82;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;ingrl;fexp;condact;secemp;empleo;desempleo;grupo1;rama1;ingpc;pobreza;epobreza;nnivins;estrato;upm;id_vivienda;id_hogar;id_persona;periodo
1;200350;000049;005;02;1;03;2;9;3;1;10; ;1;1;1;1; ;5;4;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;111,256655255632;0; ; ; ; ; ;300;0;0;3;2011;200350000049;20035000004900502;200350000049005021;20035000004900502103;202012
1;200350;000049;005;03;1;01;1;52;1;1;10;5;1;6;2;1; ;9;5; ;1;30110408;6;2;180650;2;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8411;2421;1; ;1;2;2;2;1;2;1;2;2;2;1;1;15;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ;700;600;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1300;111,256655255632;1;1;1; ;2;15;1100;0;0;5;2011;200350000049;20035000004900503;200350000049005031;20035000004900503101;202012
1;200350;000049;005;03;1;02;2;50;2;1;10;5;2; ; ; ;3;9;2; ;2; ;6;2;130150;2;1; ; ; ; ; ; ;40; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9103;2359;1; ;1;2;2;2;1;2;1;2;2;2;1;1;20;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ;400;800;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1200;111,256655255632;1;1;1; ;2;18;1100;0;0;5;2011;200350000049;20035000004900503;200350000049005031;20035000004900503102;202012
1;200350;000049;005;03;1;03;1;29;7;1;10;6;2; ; ; ;3;9;1; ;2; ;6;1; ;2;1; ; ; ; ; ; ;46; ; ;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8610;4321;1; ;3;2;2;2;1;2;1;2;2;2;1;1;3;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;2;3;1; ; ; ; ;700;100;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;800;111,256655255632;1;1;1; ;4;17;1100;0;0;5;2011;200350000049;20035000004900503;200350000049005031;20035000004900503103;202012
1;200350;000049;005;04;1;01;2;50;1;10;10;3;2; ; ; ;11;6;6; ; ; ;6;2;170150;1;1; ; ; ; ; ; ;31;3;1; ;2;1;9;4;4; ; ; ; ; ; ; ; ; ; ; ;150;6330;6;2; ; ; ; ; ; ; ; ; ; ; ; ;0;10;1;2;3;2;2;26;5;0;9700;5311;10; ;8;1;1; ; ;2;1;2;2;2;1;2;2;2;2;1;2;5;3;3;1;0;1;80;10; ; ; ; ;100;2; ;2; ;2; ;1;320;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;170;111,256655255632;2;2;1; ;6;1;257,5;0;0;4;2011;200350000049;20035000004900504;200350000049005041;20035000004900504101;202012
1;200350;000049;005;04;1;02;1;28;3;1;10;6;2; ; ; ;5;8;3; ;1;20610402;6;1; ;2;2;12;1;6;1;1;1;30;10; ; ;1;1;10;7; ; ; ; ; ; ; ; ; ; ; ; ;5110;9333;2; ;2;2;2;2;1;2;1;2;2;2;1;1;5;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;3;1;2;2;2;2;2;2;2;1;1;2;1;1;3;1; ; ; ; ;470;70;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;540;111,256655255632;1;1;1; ;9;8;257,5;0;0;5;2011;200350000049;20035000004900504;200350000049005041;20035000004900504102;202012
1;200350;000049;005;04;1;03;1;26;3;10;10;6;1;6;1;2; ;9;2; ;2; ;2;2;40550;3;2;8; ; ; ; ; ;35;2;1; ;3;1;5;7; ; ; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ;0;10;1;2;3;2;1;35; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;2;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;111,256655255632;2;2;1; ;9;1;257,5;0;0;5;2011;200350000049;20035000004900504;200350000049005041;20035000004900504103;202012
1;200350;000049;005;04;1;04;2;21;3;10;10;6;2; ; ; ;3;7;3; ; ; ;6;1; ;4;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;7;1;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;2;2;2;2;2;2;2;2;2;2;2;2;1; ;111,256655255632;8; ; ;1; ; ;257,5;0;0;4;2011;200350000049;20035000004900504;200350000049005041;20035000004900504104;202012
1;200350;000049;005;05;1;01;2;52;1;10;10;1;1;6;2;1; ;9;1; ;2; ;6;2;230150;1;1; ; ; ; ; ; ;14;3;1; ;1;1;36;4;4; ; ; ; ; ; ; ; ; ; ; ;113;6310;6;2; ; ; ; ; ; ; ; ; ; ; ; ;0;10;1;1;3;2;2;8;6;0;5011;5249;6;2;9;1;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ;5;1;3;1;0;1;25;0; ; ; ; ;600;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;625;111,256655255632;2;2;1; ;6;1;703;0;0;5;2011;200350000049;20035000004900505;200350000049005051;20035000004900505101;202012
1;200350;000049;005;05;1;02;1;51;2;10;10;1;2; ; ; ;5;6;6; ; ; ;6;1; ;1;2;12;1;7;1;2;1;56; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7990;5113;6;2; ; ; ; ; ; ; ; ; ; ; ; ;30;8;1;1;2;1;1;56; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;1;3;1;1000;2; ;0; ; ; ; ; ; ; ;2; ;2; ;1;110;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1000;111,256655255632;1;1;1; ;5;14;703;0;0;4;2011;200350000049;20035000004900505;200350000049005051;20035000004900505102;202012
