area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;sp02m;sp02n;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
2;30355;900302;022;03;1;05;1;19;4;10;10;5;2; ; ; ;5;5;10;1; ; ;1;2;30350;5;1; ; ; ; ; ;30;1; ;3;1;14; ;4;4; ; ; ; ; ; ; ; ;141;9212;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;11;1;3;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;50;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;9;8;8;8;9;9;8;6;4;9;3;7;8;8;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;2;1; ;2;9;1;030355900302;03035590030202203;030355900302022031;03035590030202203105;202206
2;30355;900302;022;03;1;06;1;17;4;10;10;5;2; ; ; ;3;5;6;1; ; ;6;2;30350;5;1; ; ; ; ; ;30;3; ;3;1;10; ;4;4; ; ; ; ; ; ; ; ;141;9212;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;11;1;3;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;8;9;99;6;6;8;99;8;4;8;4;6;7;99;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;5;1; ;2;9;1;030355900302;03035590030202203;030355900302022031;03035590030202203106;202206
2;30355;900302;022;03;1;07;2;16;5;10;10;5;1;1;1;4; ;5;9;1; ; ;6;2;30150;7;1; ; ; ; ; ;36;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;141;9212;4; ; ; ;6;2;2;2;2;2;2;2;2;2;2;2;0;11;1;3;3;2;2;30;6;0;150;9212;7; ;10;1;4;3;2;5; ; ; ; ;0;0;2; ; ; ; ;2; ;2; ;1;12;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;99;8;99;6;99;8;99;8;4;8;8;8;99;99;1;0321;1581,36964460514;3;0;63,8571428571429;1;0;4;1; ;2;9;1;030355900302;03035590030202203;030355900302022031;03035590030202203107;202206
2;30355;900302;022;03;1;08;2;15;5;10;10;6;1;1;1;4; ;5;9;1; ; ;6;2;30150;1;1; ; ; ; ; ;7;9; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;150;9212;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;10;1;3;3;2;1;7; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;12;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;5;1; ;2;9;1;030355900302;03035590030202203;030355900302022031;03035590030202203108;202206
2;30355;900302;022;03;1;09;2;13;5;10;10;6;1;1;1;4; ;5;7;1; ; ;6;2;30150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;15;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203109;202206
2;30355;900302;022;03;1;10;1;13;5;10;10;6;1;1;1;4; ;5;7;1; ; ;6;2;30150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;13;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203110;202206
2;30355;900302;022;03;1;11;2;11;5;10;10; ;1;1;1;4; ;5;6;1; ; ;6;2;30150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;13;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203111;202206
2;30355;900302;022;03;1;12;1;8;5;10;10; ;1;1;1;4; ;5;2;2; ; ;6;2;30350;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;16;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203112;202206
2;30355;900302;022;03;1;13;1;8;5;10;10; ;1;1;1;4; ;5;2;2; ; ;6;2;30150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;10;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203113;202206
2;30355;900302;022;03;1;14;2;7;5;10;10; ;1;1;1;4; ;5;1;2; ; ;6;2;30150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;15;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0321;1581,36964460514;3; ;63,8571428571429;1;0;0; ; ; ; ; ;030355900302;03035590030202203;030355900302022031;03035590030202203114;202206
