area;ciudad;conglomerado;panelm;vivienda;hogar;P01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p75g;p76;p76h;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;150350;606;49;7;1;1;2;58;1;1;10;6;2; ; ; ;11;6;6; ; ; ;2;2;80750;1;1; ; ; ; ; ;40; ;1;4; ; ;3; ; ; ; ; ; ; ; ; ; ;8411;9112;1; ; ; ;1;2;2;2;1;2;1;2;2;2;1;1;20;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;600;60;2; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1519;235,5872683;4;660;660;0;0;1;1; ;1;9;15;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;1;1;48;1;10;10;5;2; ; ; ;3;6;6; ; ; ;1;1; ;1;1; ; ; ; ; ;42; ;1;2;1;10; ;1;4; ; ; ; ; ; ; ; ;150;6130;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;22;10;1;4;3;2;2;26;16;0;122;9211;4; ;11;1;2;3;2;5;75;1;80;20; ; ; ; ;90;1;30;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;4;255;183;0;0;3;1; ;2;6;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;2;2;17;2;10;10;5;2; ; ; ;3;5;7;1; ; ;1;2;150151;1;2;8; ; ; ; ;10;6; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;10;1;4;3;2;1;10; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3; ;183;0;0;5;1; ;2;9;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;3;1;17;3;10;10;6;2; ; ; ;11;7;1; ; ; ;1;2;150150;1;1; ; ; ; ; ;45; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;122;9211;4; ; ; ;6;1;2;2;2;2;2;2;2;2;2;2;5;11;1;8;3;2;2;40;5;0;150;9211;7; ;10;1;4;3;2;5; ; ; ; ;240;0;1;80; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;4;320;183;0;0;4;1; ;2;9;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;4;2;13;3;10;10;6;1;1;1;4; ;5;7;1; ; ;1;2;150150;1;2;8; ; ; ; ;5;7; ;4; ; ;2; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;10;1;4;3;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;8;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3; ;183;0;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;5;1;0;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;2;150150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126; ; ;183;0;0;0; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;1;1;6;1;40;7;10;10;6;2; ; ; ;11;6;6; ; ; ;1;1; ;1;1; ; ; ; ; ;46; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4100;9313;4; ; ; ;6;1;2;2;2;2;2;2;2;2;2;2;0;2;1;8;3;2;2;40;6;0;150;6130;6;2;10;1;1;3;2;5; ; ; ; ;300;0;1;60;60;1;40;2; ;2; ;2; ;2; ;1; ;55;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;4;460;183;0;0;1;1; ;2;9;6;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;2;1;1;2;95;1;10;10;4;2; ; ; ;1;1; ;2; ; ;1;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;1; ;22;1;1;9; ; ; ; ; ;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;2;1;2;2;67;3;10;10;6;2; ; ; ;1;1; ;2; ; ;1;1; ;2;2;8; ; ; ; ;12;6; ;4; ; ;3; ; ; ; ; ; ; ; ; ; ;150;6330;6;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ;53;10;1;1;3;2;1;12; ; ; ; ; ; ; ; ; ; ; ;5;0;1;34;0; ; ; ; ; ; ; ;2; ;2; ;1;10;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;1;34;22;1;1;4;1; ;2;6;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;5;1;1;1;69;1;10;10;1;2; ; ; ;1;4;4;1; ; ;1;1; ;1;1; ; ; ; ; ;25;2; ;2;1;20; ;7; ; ; ; ; ; ; ; ; ;150;6130;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;55;10;1;3;3;2;1;25; ; ; ; ; ; ; ; ; ; ; ;5;125;1;100;30; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3;195;65;1;0;2;1; ;2;6;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;5;1;2;2;68;2;10;10;1;2; ; ; ;1;4;4;1; ; ;1;1; ;1;2;8; ; ; ; ;20;6; ;4; ; ;3; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;50;10;1;3;3;2;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3; ;65;1;0;5;1; ;2;9;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;5;1;3;1;36;3;10;10;6;2; ; ; ;3;6;6; ; ; ;1;1; ;1;2;8; ; ; ; ;25;6; ;4; ; ;3; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;10;1;3;3;2;1;25; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;4; ;65;1;0;5;1; ;2;9;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;6;1;1;1;84;1;10;10;4;2; ; ; ;1;1; ;2; ; ;1;1; ;1;2;8; ; ; ; ;12;6; ;4; ; ;3; ; ; ; ; ; ; ; ; ; ;113;6310;6;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ;70;10;1;1;3;2;1;12; ; ; ; ; ; ; ; ; ; ; ;5;0;1;20;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1; ;100;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;1;20;120;0;0;4;1; ;2;6;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;7;1;1;2;56;1;10;10;4;1;2;1;4; ;5;6;1; ; ;1;1; ;1;1; ; ; ; ; ;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;150;6130;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;42;10;1;2;3;2;1;50; ; ; ; ; ; ; ; ; ; ; ;5;65;1;120;10; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1; ;55;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3;175;136,6666667;0;0;4;1; ;2;6;1;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;7;1;2;1;35;3;10;10;6;2; ; ; ;2;9;4; ;1;31010402;1;1; ;1;2;12;1;2;2;2;44; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4722;5221;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;0;6;1;1;3;2;2;24;20;0;150;9211;7; ;10;1;2;3;2;5;0;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;5;0;136,6666667;0;0;4;1; ;2;5;7;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
2;150350;900801;60;7;1;3;1;59;7;10;10;6;1;2;2;4; ;5;6;1; ; ;1;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;1610;7115;2; ; ; ;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;6;3;3;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;120;0;1;60; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1522;172,567126;3;180;136,6666667;0;0;4;1; ;4;7;3;1,50E+11;1,50E+16;1,50E+17;1,50E+19;202406
