area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;rsp1;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
2;230157;000201;023;03;1;02;1;40;3;10;10;6;2; ; ; ;11;4;5;1; ; ;6;2;120550;1;1; ; ; ; ; ;25;2; ;1;1;20; ;1;4; ; ; ; ; ; ; ; ;127;6112;4; ; ; ;6;2;2;2;2;2;2;2;2;2;2;2;15;11;1;6;3;2;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;320;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;0;1;3;0;15;1;5;0;15;4;0;1;2323;36,8081940908205;3;320;207,25;0;0;2;1; ;2;6;1;230157000201;23015700020102303;230157000201023031;23015700020102303102;202212
2;230157;000201;023;03;1;03;2;36;3;1;10;2;2; ; ; ;11;4;6;1; ; ;6;1; ;3;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;122;6112;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;4;11;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;385;40;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7;4;6;6;5;5;5;5;6;6;7;1;5; ; ; ;2; ; ; ;1;5;0;20;1;5;0;15;3;0;1;2323;36,8081940908205;3;425;207,25;0;0;1;1; ;1;6;1;230157000201;23015700020102303;230157000201023031;23015700020102303103;202212
2;230157;000201;023;03;1;04;2;16;5;1;10;6;1;1;1;4; ;7;1; ; ; ;6;2;90150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2323;36,8081940908205;4; ;207,25;0;0;9; ; ; ; ; ;230157000201;23015700020102303;230157000201023031;23015700020102303104;202212
2;230157;000201;023;04;1;01;1;28;1;1;10;5;2; ; ; ;11;6;6; ; ; ;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;210;6210;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;1;11;1;30;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;385;40;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;0;1;5;0;25;1;5;0;20;3;0;1;2323;36,8081940908205;4;425;141,666666666667;0;0;1;1; ;1;6;1;230157000201;23015700020102304;230157000201023041;23015700020102304101;202212
2;230157;000201;023;04;1;02;2;26;2;10;10;5;2; ; ; ;15;6;6; ; ; ;6;2;170150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;8;5;5;6;5;6;5;7;5;6;5;6;6; ; ; ;2; ; ; ;1;5;0;15;1;5;0;20;5;0;1;2323;36,8081940908205;4; ;141,666666666667;0;0;9; ; ; ; ; ;230157000201;23015700020102304;230157000201023041;23015700020102304102;202212
2;230157;000201;023;04;1;03;1;7;3;1;10; ;1;1;3;4; ;5;1;2; ; ;6;2;170150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2323;36,8081940908205;3; ;141,666666666667;0;0;0; ; ; ; ; ;230157000201;23015700020102304;230157000201023041;23015700020102304103;202212
2;230157;000201;023;05;1;01;1;53;1;10;10;5;2; ; ; ;11;4;6;1; ; ;6;2;130151;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ;8;0;1;2323;36,8081940908205;3; ;197,5;0;0;9; ; ; ; ; ;230157000201;23015700020102305;230157000201023051;23015700020102305101;202212
2;230157;000201;023;05;1;02;2;47;2;10;10;5;2; ; ; ;11;4;6;1; ; ;7;2;130550;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;1;7;0;25;6;0;1;2323;36,8081940908205;3; ;197,5;0;0;9; ; ; ; ; ;230157000201;23015700020102305;230157000201023051;23015700020102305102;202212
2;230157;000201;023;05;1;03;1;27;3;1;10;6;2; ; ; ;3;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;1610;6210;2; ; ; ;3;1;2;2;1;1;1;2;2;2;1;1;0;11;2; ; ; ;2;40;10;0;127;6112;6;2;10;1;2;3;2;1; ; ; ; ;385;40;1;65;200;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;5;5;6;6;3;6;6;8;7;7;3;2; ; ; ;1;2;1;0;1;2;1;0;1;7;0;25;3;0;1;2323;36,8081940908205;4;690;197,5;0;0;1;1; ;1;6;3;230157000201;23015700020102305;230157000201023051;23015700020102305103;202212
2;230157;000201;023;05;1;04;1;19;3;10;10;6;2; ; ; ;3;7;3; ; ; ;7;2;120550;4;1; ; ; ; ; ;26;2; ;2;1;16; ;1;4; ; ; ; ; ; ; ; ;127;6112;4; ; ; ;6;1;2;2;2;2;2;2;2;2;2;2;2;11;1;2;3;2;2;24;10;0;127;9211;7; ;10;1;2;3;2;5; ; ; ; ;80;0;1;20; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;0;1;5;0;35;1;7;0;25;5;0;1;2323;36,8081940908205;4;100;197,5;0;0;2;1; ;2;6;1;230157000201;23015700020102305;230157000201023051;23015700020102305104;202212
