area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;042;07;1;02;2;42;2;10;10;1;2; ; ; ;3;6;3; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;241;0;0;9; ; ; ; ; ;010150000304;01015000030404207;010150000304042071;01015000030404207102;202306
1;10150;000304;042;07;1;03;1;24;3;10;10;6;2; ; ; ;3;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4520;9629;2; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;0;1;1;3;3;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;450;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;4;450;241;0;0;1;1; ;1;9;7;010150000304;01015000030404207;010150000304042071;01015000030404207103;202306
1;10150;000304;042;07;1;04;1;13;3;10;10;6;1;2;1;4; ;5;7;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;5;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;241;0;0;0; ; ; ; ; ;010150000304;01015000030404207;010150000304042071;01015000030404207104;202306
1;10150;000304;042;07;1;05;2;4;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291; ; ;241;0;0;0; ; ; ; ; ;010150000304;01015000030404207;010150000304042071;01015000030404207105;202306
1;10150;002103;049;01;1;01;1;67;1;1;10;1;2; ; ; ;2;9;5; ;1;30730201;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1000;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197;5; ;623,333333333333;0;0;9; ; ; ; ; ;010150002103;01015000210304901;010150002103049011;01015000210304901101;202306
1;10150;002103;049;01;1;02;2;70;2;1;10;1;2; ; ; ;1;6;6; ; ; ;6;2;140350;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;270;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197;4; ;623,333333333333;0;0;9; ; ; ; ; ;010150002103;01015000210304901;010150002103049011;01015000210304901102;202306
1;10150;002103;049;01;1;03;2;34;3;10;10;6;2; ; ; ;2;9;5; ;1;30730201;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;4; ; ; ; ; ; ; ; ; ; ;4210;2142;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;6;1;1;19;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;600;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197;5;600;623,333333333333;0;0;1;1; ;1;2;6;010150002103;01015000210304901;010150002103049011;01015000210304901103;202306
1;10150;002103;049;04;1;01;2;32;1;10;10;2;2; ; ; ;5;6;6; ; ; ;6;3;604;1;1; ; ; ; ; ;40; ;1;3;1;5; ;1;4; ; ; ; ; ; ; ; ;4761;5221;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;3;9;1;1;3;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5;600;2; ;400; ; ; ; ; ; ; ;2; ;2; ;1;300;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197;4;200;250;0;0;3;1; ;1;5;7;010150002103;01015000210304904;010150002103049041;01015000210304904101;202306
1;10150;002103;049;04;1;02;2;4;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;2;110150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197; ; ;250;0;0;0; ; ; ; ; ;010150002103;01015000210304904;010150002103049041;01015000210304904102;202306
1;10150;002103;049;05;1;01;2;73;1;10;10;4;2; ; ; ;1;4;6;1; ; ;6;2;30651;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;72,447315867197;3; ;478;0;0;9; ; ; ; ; ;010150002103;01015000210304905;010150002103049051;01015000210304905101;202306
