area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;005002;010;02;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201002;010150005002010021;2711;103,690141386699;202112
1;10150;005002;010;03;1;1;1;3;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201003;010150005002010031;2711;103,690141386699;202112
1;10150;005002;010;04;1;1;1;2;1;2;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201004;010150005002010041;2711;103,690141386699;202112
1;10150;005002;010;05;1;1;1;2;1;2;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201005;010150005002010051;2711;103,690141386699;202112
1;10150;005002;010;06;1;1;1;2;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150005002;01015000500201006;010150005002010061;2711;103,690141386699;202112
1;10150;005002;010;07;1;1;2;2;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150005002;01015000500201007;010150005002010071;2711;103,690141386699;202112
1;10150;006404;023;01;1;1;2;4;1;4;1;3;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150006404;01015000640402301;010150006404023011;2713;176,305248663953;202112
1;10150;006404;023;02;1;1;1;4;2;2;1;3;1;7;6;0;1;1;1; ; ;1; ; ;1;1;1;2;3;010150006404;01015000640402302;010150006404023021;2713;176,305248663953;202112
1;10150;006404;023;04;1;1;1;4;2;1;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150006404;01015000640402304;010150006404023041;2713;176,305248663953;202112
1;10150;006404;023;05;1;1;2;1;1;1;1;2;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150006404;01015000640402305;010150006404023051;2713;176,305248663953;202112
1;10150;006404;023;06;1;1;1;2;2;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;2;2;3;010150006404;01015000640402306;010150006404023061;2713;176,305248663953;202112
1;10150;006404;023;07;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150006404;01015000640402307;010150006404023071;2713;176,305248663953;202112
1;10150;006404;023;09;1;1;2;4;2;1;2;3;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150006404;01015000640402309;010150006404023091;2713;176,305248663953;202112
1;10150;008102;021;03;1;1;1;2;2;1;2;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150008102;01015000810202103;010150008102021031;2712;149,953763945431;202112
1;10150;008102;021;04;1;1;1;2;1;2;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150008102;01015000810202104;010150008102021041;2712;149,953763945431;202112
1;10150;008102;021;05;1;1;2;2;2;2;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150008102;01015000810202105;010150008102021051;2712;149,953763945431;202112
1;10150;008102;021;06;1;1;2;1;1;2;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150008102;01015000810202106;010150008102021061;2712;149,953763945431;202112
1;10150;008102;021;07;1;1;1;2;1;2;2;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150008102;01015000810202107;010150008102021071;2712;149,953763945431;202112
1;10150;008102;021;08;1;1;2;1;1;2;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150008102;01015000810202108;010150008102021081;2712;149,953763945431;202112
1;10150;008502;023;01;1;1;1;4;2;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150008502;01015000850202301;010150008502023011;2711;66,8695673399362;202112
1;10150;008502;023;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150008502;01015000850202302;010150008502023021;2711;66,8695673399362;202112
1;10150;008502;023;03;1;1;1;2;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150008502;01015000850202303;010150008502023031;2711;66,8695673399362;202112
1;10150;008502;023;04;1;1;1;2;1;2;2;1;2;4;3;1;1;1;1; ; ;1; ; ;1;1;1;2;4;010150008502;01015000850202304;010150008502023041;2711;66,8695673399362;202112
1;10150;008502;023;05;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150008502;01015000850202305;010150008502023051;2711;66,8695673399362;202112
1;10150;008502;023;06;1;1;1;2;3;4;3;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150008502;01015000850202306;010150008502023061;2711;66,8695673399362;202112
1;10150;008502;023;08;1;1;1;2;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150008502;01015000850202308;010150008502023081;2711;66,8695673399362;202112
1;10150;009301;023;01;1;1;2;1;2;1;1;1;2;12;10;1;1;1;1; ; ;1; ; ;1;1;1;2;6;010150009301;01015000930102301;010150009301023011;2712;169,665908844083;202112
1;10150;009301;023;02;1;1;1;3;2;4;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150009301;01015000930102302;010150009301023021;2712;169,665908844083;202112
1;10150;009301;023;03;1;1;1;2;1;1;2;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150009301;01015000930102303;010150009301023031;2712;169,665908844083;202112
1;10150;009301;023;04;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150009301;01015000930102304;010150009301023041;2712;169,665908844083;202112
1;10150;009301;023;05;1;1;1;2;2;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;2;1;2;4;010150009301;01015000930102305;010150009301023051;2712;169,665908844083;202112
1;10150;009301;023;08;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150009301;01015000930102308;010150009301023081;2712;169,665908844083;202112
1;10150;010401;027;02;1;1;2;2;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150010401;01015001040102702;010150010401027021;2712;135,531632822317;202112
1;10150;010401;027;04;1;1;1;2;2;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150010401;01015001040102704;010150010401027041;2712;135,531632822317;202112
1;10150;010401;027;05;1;1;2;2;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010401;01015001040102705;010150010401027051;2712;135,531632822317;202112
1;10150;010401;027;06;1;1;2;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010401;01015001040102706;010150010401027061;2712;135,531632822317;202112
