area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;5902;12;2;1;3;1;2;1;1;1;1;1;3;2;0;1;1;2;1;;;1;1;1;2;4;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5902;12;3;1;3;2;4;1;8;1;3;1;4;3;0;1;1;2;1;;;1;1;1;2;4;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5902;12;4;1;3;1;2;1;2;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;4;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5902;12;5;1;3;1;4;1;1;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;5;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5902;12;6;1;3;1;2;3;2;2;1;2;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5902;12;7;1;3;1;4;1;2;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;5;2713;107;10150005902;1,015E+15;1,015E+16;201912
1;10150;5903;12;1;1;1;1;2;2;1;1;1;1;8;6;0;1;1;1;1;;;1;1;1;2;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;5903;12;2;1;1;1;4;2;1;2;3;2;3;2;0;1;1;1;1;;;1;1;1;2;5;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;5903;12;3;1;1;1;2;1;1;2;1;2;3;3;0;1;1;1;1;;;1;1;1;1;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;5903;12;4;1;3;1;4;3;1;2;3;2;3;2;0;1;1;1;1;;;1;1;1;2;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;5903;12;5;1;3;1;2;2;2;1;1;2;6;4;0;1;1;1;1;;;1;1;1;2;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
